,labels,sentences
3687,shame,When I tried to steal a book from the bookshop and was caught.
3688,guilt,"When I was caught with another man's wife.  I had taken the  
opportuinty as this man was abroad but he returned that night."
3689,joy,The day I learnt that I had been admitted to the university.
3690,fear,"When I had gone for a boxing tournament which ended at 2 o'clock  
in the morning.  I was alone on my way back, and I could hear the  
barking of the dogs, the nocturnal animals and the sound of my      
own footsteps.  There had been a rumour  circulating that there  
were ghosts in that area."
3691,anger,"In 1983 a sadist provoked my sister in my presence.  He tried  
to force my sister into accompanying him to his place, but my  
sister did not agree and so she was kicked and she fell down.   
There was a fight."
3692,sadness,"When my father passed away in 1978.  I was left alone with my  
mother who was very sick so I had to go and live with my aunt, who  
is very short tempered, till my mother was discharged from the  
hospital."
3693,disgust,When I learnt that my best friend had failed the exams.
3694,guilt,I broke my friend's badminton racket and she kept quiet about it.
3695,joy,"""Boy, you have been admitted to the medicine school and your  
uncle is coming back fron Canada next week,"" my father told me  
and it was a happy moment."
3696,fear,"I was in form five at the boarding school and my friends and I  
had gone drinknig beer in the nearby village.  And we were caught  
red handed there by a form master."
3697,anger,When my mother quarrelled with my aunt over me.
3698,sadness,"My elder brother had been expelled from college and he was so  
frustated that he attempted suicide - he drank bottle fragments.   
I was very sad when I learnt this."
3699,disgust,"I found out accidentaly that while my uncle was away in Canada, my  
aunt had been bedding a young man on a regular basis."
3700,shame,"It was during a school holiday - I was found necking a girl in my  
room by my father."
3701,guilt,"I was in grade seven and my class was planning a protest against  
a rude and immoral teacher.  I sneaked out and told the  
headmaster about it and so the plan was foiled."
3702,joy,"I won the first prize at the science fair, the first of the kind  
at school and I was only in form II then.  "
3703,fear,"A close relative of mine died in a serious car accident.  I was  
one of the first two people to see the corpse and I had to do it.  
 Before going in to see it I was afraid as it was the first time  
that I was seeing a corpse."
3704,anger,"My younger brother destroyed and gave away some of the books that  
I had intended to keep for as long as possible."
3705,sadness,"When a close relative of mine passed away, it was the first time  
that someone so close to me had died."
3706,disgust,"A person whom I thought to be honest took and spend the little  
money that I had and I had no way of getting any money in the  
few following months."
3707,shame,"While watching a religious film, I got very excited and made a  
number of comments which were reproached to me by an elderly  
person who respected me."
3708,guilt,"I beat up a female friend after I heard the defamatory stories that  
she had been telling.  I was later called to explain my  
behaviour."
3709,joy,"My 21st birthday celebration, when I cut the cake and received  
the presents."
3710,fear,"Before one of my final exams of the third year - natural  
sciences."
3711,anger,"When some seniors tried to scold and insult some juniors on  
account of what the juniors were supposed to have said at  
secondary school."
3712,sadness,"When an uncle of mine, who was close to me, passed away after  
having had a stroke, before his first daughter could be named."
3713,disgust,When my sister's boyfriend accused her of having been sleeping around.
3714,shame,"When I could not hold my bladder while making a telephone call  
and ended up wetting myself."
3715,guilt,"When I was made to feel responsible for the emotional state a friend of  
mine was in."
3716,sadness,My fiancT left me for my best friend.
3717,disgust,People who discriminate other people disgust me.
3718,shame,"On New Years eve I drank too much alcohol, so much that I had to  
vomit in the presence of other people."
3719,guilt,"I have cut loose from my father a few years ago. I know he is  
very sad about this."
3720,joy,A recurrent lovesickness.
3721,fear,I was sexually assaulted one night by a stranger.
3722,anger,"Meddlesomeness of my mother about the way I live. She thinks I am  
to free in my behavior for instance when a boyfriend stays the  
night."
3723,sadness,The dying of a close member of the family.
3724,disgust,"Seeing maltreated, dead animals."
3725,shame,"A much older man took advantage of me during my childhood (four  
to eight years of age)."
3726,guilt,"When my friend needed my help very much and I, at that moment, made  
an end to our relationship."
3727,joy,When I passed a very important exam.
3728,fear,"When a man rang the doorbell and wanted to enter the house with  
violence. I was alone at home that moment."
3729,anger,"A friend came to visit me late one night. He promised to stay  
only a quarter of an hour, but he stayed 5 hours !! He didn't  
leave and I was very angry."
3730,sadness,"I had to terminate a training because I wasn't suited for it. I  
was very sad about this, because I very much wanted to finish  
that training."
3731,disgust,"During my birthday party a friend drank too much alcohol. So much  
that he had to throw up. Worst of all was that he couldn't leave  
my friend alone and that he was molesting her."
3732,shame,"I tried to swindle a jeweller because my watch was broken and I  
wanted to have it repaired it was a pity but they detected it."
